Club,GamesPlayed,TotalPoints,TotalWins,TotalLosses,Draws,Goals,GoalsAgainst,GoalsDifferential,PenaltyKickTaken,PenaltyKickConceded,Fouls,FoulsSuffered,Offsides,YellowCards,RedCards,Year,StadiumCapacity,TotalSpectators,AverageAttendance,Matches,SoldOut,Capacity %,Win/lossRatio
New York,30,39,10,11,9,42,48,-6,3,2,413,341,82,56,5,2008,25.0,238.925,15.928,15,-,0.637,0.9090909090909091
Salt Lake,30,40,10,10,10,40,39,1,4,4,388,355,67,52,3,2008,20.213,242.69,16.179,15,1,0.8,1.0
San Jose,30,33,8,13,9,32,38,-6,5,3,382,353,78,58,4,2008,18.0,205.695,13.713,15,4,0.762,0.6153846153846154
Toronto,30,35,9,13,8,34,43,-9,7,6,343,329,95,50,5,2008,30.991,301.793,20.12,15,-,0.649,0.6923076923076923
Chicago,30,40,10,10,10,31,36,-5,6,6,393,420,91,60,5,2007,24.955,247.356,16.49,15,6,0.661,1.0
Chivas,30,53,15,7,8,46,28,18,3,2,434,412,98,62,4,2007,18.8,214.578,14.305,15,2,0.761,2.142857142857143
Colorado,30,35,9,13,8,29,34,-5,5,2,444,403,82,60,7,2007,18.086,221.229,14.749,15,5,0.816,0.6923076923076923
Columbus,30,37,9,11,10,39,44,-5,3,2,417,482,103,46,3,2007,20.011,226.706,15.114,15,1,0.755,0.8181818181818182
D.C.,30,55,16,7,7,56,34,22,7,1,509,366,115,65,2,2007,20.0,314.506,20.967,15,1,1.048,2.2857142857142856
Dallas,30,44,13,12,5,37,44,-7,5,3,465,445,82,64,4,2007,20.5,227.182,15.145,15,-,0.739,1.0833333333333333
Houston,30,52,15,8,7,43,23,20,3,2,410,455,125,49,4,2007,22.039,238.24,15.883,15,-,0.721,1.875
Kansas City,30,40,11,12,7,45,45,0,7,6,387,483,103,58,3,2007,21.0,173.784,11.586,15,-,0.552,0.9166666666666666
LAFC,30,34,9,14,7,38,48,-10,7,4,354,385,96,48,5,2007,27.0,363.782,24.252,15,6,0.898,0.6428571428571429
New England,30,50,14,8,8,51,43,8,4,3,381,461,83,47,1,2007,20.0,251.132,16.742,15,-,0.837,1.75
New York,30,43,12,11,7,47,45,2,6,4,424,361,102,39,4,2007,25.0,247.948,16.53,15,-,0.661,1.0909090909090908
